Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
immigration,Chad,,,,,,,3.682771371,,,,,3.504629139,,,,,3.496865096,,,,,1.256394186,,,
gender,Chad,48.15000153,48.09700012,48.56000137,48.49000168,49.14799881,49.80699921,50.4640007,51.11999893,51.77600098,52.43099976,53.08599854,53.73799896,54.38999939,55.03900146,55.68600082,56.32899857,56.97100067,57.61199951,58.2519989,58.88800049,59.51900101,60.14599991,60.76900101,61.38800049,62.00299835
education,Chad,,,,67.76999664,,,,,,,,,,,,,,,,,,,,,
interest,Chad,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Chad,26.76000023,,,,,22.31155014,26.00299072,,,,,,,,,,,28.38142967,,,,25.65420914,,,
militaryexp,Chad,2.794138043,3.078405674,2.187152986,2.339468546,2.238589247,3.068475119,2.018821854,2.806513955,5.592313244,,5.010096531,5.764933115,7.95566213,5.885152631,4.485948826,2.995626879,0.83197797,1.011624967,1.322522425,1.524474403,1.354021391,1.362045317,1.365223833,0.92295735,1.075865129
oil,Chad,,11.33388849,17.79414868,20.48619544,14.77104781,6.747858331,7.52603978,17.39951227,18.51828954,22.36124068,25.74258723,21.09282139,15.59724909,31.98722909,30.07921187,34.16989872,35.01054126,32.33347246,6.150359324,0,0,0,0,0,0
slums,Chad,,82,,82,,82.56551,,83.69279,,84.82007,,85.94735,,87.07463,,88.20191,,89.32919,,90.45647,,91.58375,,,
Real interest rate (%),Chad,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Chad,76.219,76.48,76.721,76.941,77.142,77.323,77.485,77.628,77.752,77.858,77.946,78.015,78.066,78.099,78.132,78.166,78.199,78.232,78.265,78.298,78.33,78.363,78.396,78.429,78.462
servicesector,Chad,35.65986045,43.57782534,40.46735294,37.52507707,33.50713083,30.49304264,33.03970976,31.09100729,33.0200058,31.824469,32.59309775,33.41279742,37.5114997,32.56866544,33.24858476,32.52468987,35.06782703,28.68792715,40.39867431,43.93205508,42.99815227,44.57949473,45.49412405,43.68317991,43.98419387
"Share of tariff lines with international peaks, all products (%)",Chad,,,,,,49.652,44.94109,,47.48201,,45.90717,46.71647,47.88994,47.0528,44.82183,50.55933,53.05948,46.88496,48.1274,46.85921,46.64926,,,,46.34221
"Share of tariff lines with specific rates, all products (%)",Chad,,,,,,0.2644766,0.2079002,,0,,0.2700422,0,0.2700878,0,0.1391982,0,0,0,0,0,0.0580215,,,,0
"Tariff rate, applied, simple mean, all products (%)",Chad,,,,,,18.16,17.04,,17.71,,17.41,17.42,17.56,17.56,17.09,18.18,18.13,17.41,17.56,17.56,17.59,,,,17.08
"Tariff rate, applied, simple mean, primary products (%)",Chad,,,,,,20.66,17.92,,21.97,,22.02,21.67,22.44,22.58,21.09,22.85,22.97,22.4,22.49,22.5,21.23,,,,20.54
Tariffs,Chad,,,,,,16.36,13.92,,14.16,,15.13,14.69,14.27,14.51,13.27,14.52,13.63,12.69,14.05,14.38,13.07,,,,14.58
"Tariff rate, applied, weighted mean, primary products (%)",Chad,,,,,,17.53,20.98,,19.11,,18.42,17.66,18.16,17.14,18.23,22.11,21.84,24.84,23.45,20.85,20.49,,,,15.92
"Tariff rate, most favored nation, simple mean, all products (%)",Chad,,,,,,17.85,17.85,,17.93,,17.85,17.75,17.85,17.75,17.86,18.22,18.05,18.22,18.22,18.04,18.04,,,,18.24
"Tariff rate, most favored nation, weighted mean, all products (%)",Chad,,,,,,16.36,13.92,,14.16,,15.16,14.71,14.27,14.51,13.27,14.52,13.63,12.69,14.05,14.38,13.07,,,,17.31
unemployment,Chad,,,,1.129999995,,,,,,,,,,,,,,,,,,,,,
Exports,Ceuta,10,36,26,30,30,99,83,50,67,34,9,18,18,62,65,21,159,144,91,169,55,210,196,134,
Imports,Ceuta,10,1,5,46,,,,,,,,,1,1,,,0,0,0,,,,,,
electricity,Central African Republic,,15.46508408,14.30000019,14.84237576,14.29954147,13.53381634,12.7270298,12.05739689,11.46914101,10.8688612,10.24664783,9.800000191,9.252875328,7.480000019,8.350997925,7.805169106,7.47804451,7.04570055,6.612820148,6.177053928,5.736052036,6,4.807798386,4.321425438,3.830210209
ageing,Central African Republic,102.76834,102.7875878,103.5409786,103.8960025,103.8643206,103.8254546,103.7757429,101.5323442,98.27493028,95.8435256,93.67786995,92.43335028,91.95475047,91.64851599,91.3226877,90.81518168,90.5489602,90.64857257,90.66518118,90.98207883,91.40589296,91.77315573,92.30204704,92.76794526,93.16367633
publicdebt,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,
business,Central African Republic,,,127.8,143.4,154.7,186,181.3,200.4,144.7,154,156.5,208.8,223.7,237.6,210.8,215,217.4,210.2,198.3,,,,,,
gdp,Central African Republic,461.1374902,435.4692516,426.4087626,435.9322636,414.7402866,372.1354655,351.8797536,394.856957,352.226872,525.8675432,515.2095319,459.7769465,452.9222586,446.2288114,388.4777863,340.4145334,317.8776556,309.1902615,283.6753608,253.4106803,242.5757245,243.8775801,273.4279279,272.1015286,271.1432876
GNI per capita growth (annual %),Central African Republic,-0.043041442,-3.206390262,0.704811287,4.731828463,5.599331143,3.037388591,4.071422031,0.263566969,-36.54777982,4.167709106,2.536853329,3.236323015,,,,,,,,,,,,,
savings,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,
internet,Central African Republic,,10.4,8.3,5.1,4,3.1,2.9,2.7,2.5,2.4,2.2,2,1.8,1,0.375815961,0.311159173,0.268195609,0.223401395,0.151563338,0.128537117,0.078543428,0.053394174,0.040894287,0.027878201,0.014270881
inflation,Central African Republic,4.259364175,1.710156595,2.685373553,1.61215687,4.180723319,4.945432761,1.402970171,14.89868418,6.98879342,5.478295943,1.194475724,1.4910237,3.521262272,9.258950994,0.959917619,6.695264658,2.883520734,-2.066406011,4.134709052,2.331817035,3.834860602,3.203400916,-1.414202201,-1.885200962,1.611313478
immigration,Central African Republic,,,,,,,1.665172192,,,,,2.102734932,,,,,2.328849337,,,,,3.315282036,,,
gender,Central African Republic,63.19499969,62.67900085,63.27799988,63.18999863,63.10699844,63.0340004,62.97600174,62.99200058,63.01800156,63.06200027,63.125,63.20500183,63.19800186,63.20999908,63.23799896,63.27500153,63.31999969,63.31499863,63.31200027,63.31499863,63.32500076,63.35100174,63.31999969,63.29800034,63.2840004
education,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,
interest,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Central African Republic,,37.49000168,,37.39582062,,,,,,,,36.75260925,,,,,,,,,,50.6451683,,,
militaryexp,Central African Republic,1.858675078,2.010143679,1.915529229,1.43304054,1.435967607,1.528332632,1.686089014,2.25538964,3.155823963,1.970128935,2.271558766,2.597425043,1.816206731,1.587181967,1.125878508,,1.15123645,1.201693015,1.35309986,1.109131185,,,,,
oil,Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Central African Republic,,,,,,68.9131,,68.9131,,68.9131,,71.75511,,74.59712,,77.43913,,80.28114,,83.12315,,85.96516,,,
Real interest rate (%),Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Central African Republic,57.352,57.802,58.23,58.636,59.02,59.382,59.723,60.041,60.337,60.612,60.865,61.096,61.306,61.494,61.661,61.807,61.931,62.034,62.116,62.198,62.28,62.361,62.443,62.525,62.606
servicesector,Central African Republic,39.65844687,39.99309156,41.1485377,41.9693021,41.87957691,41.68102922,42.13239284,41.79309475,39.63574253,30.07332464,28.57003593,29.32937286,29.31143009,,,,,,,,,,,,
"Share of tariff lines with international peaks, all products (%)",Central African Republic,,,,,43.39688,43.39688,43.39688,,43.17304,51.744,50.6316,49.72409,49.72409,49.72409,49.72409,93.7299,96.86961,94.59746,94.59746,54.04903,54.85526,,,,48.88169
"Share of tariff lines with specific rates, all products (%)",Central African Republic,,,,,0,0,0,,0,0,0,0,0,0,0.2452483,0,0,0,0,0,0,,,,0.0972447
"Tariff rate, applied, simple mean, all products (%)",Central African Republic,,,,,15.99,15.99,15.99,,15.97,18.52,16.96,17.39,17.39,17.39,17.43,24.53,22.16,24.52,24.52,18.94,18.93,,,,17.47
"Tariff rate, applied, simple mean, primary products (%)",Central African Republic,,,,,17.14,17.14,17.14,,17.29,22.26,19.41,17.92,17.92,17.92,17.92,27.33,23.48,27.27,27.27,22.72,23.73,,,,20.87
Tariffs,Central African Republic,,,,,16.44,16.44,16.44,,16.61,17.44,15.51,15.23,15.23,15.23,15.23,29.87,29.49,29.86,29.86,16.86,18.3,,,,13.44
"Tariff rate, applied, weighted mean, primary products (%)",Central African Republic,,,,,17.24,17.24,17.24,,17.89,21.91,19.98,17.61,17.61,17.61,17.61,29.89,29.24,29.88,29.88,19.76,22.51,,,,13.88
"Tariff rate, most favored nation, simple mean, all products (%)",Central African Republic,,,,,17.99,17.99,17.99,,17.93,17.78,17.75,17.75,17.75,17.75,17.86,17.99,18.05,18.22,18.22,18.04,18.04,,,,18.23
"Tariff rate, most favored nation, weighted mean, all products (%)",Central African Republic,,,,,17.52,17.52,17.52,,17.69,17.44,17.43,17.62,17.62,17.62,17.63,29.87,29.49,29.86,29.86,16.86,18.3,,,,16.78
unemployment,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,
Exports,Central Africa,4553,2796,2566,1894,1296,1547,1352,721,946,1768,1427,2286,1273,1130,887,169,709,332,213,69,57,34,101,106,
Imports,Central Africa,3607,5708,3620,5425,2811,3157,2653,2927,4065,4862,2814,2516,1465,2144,661,861,899,625,231,126,139,30,,1,
Exports,Cayman Islands,3750,3658,3831,10116,25697,16911,6094,846,1119,11358,2954,1360,1799,3567,1077,634,404,247,388,210,50,,,,
Imports,Cayman Islands,11,1,8,12,1,2,0,0,26,12,9,32,1,,,2,0,0,0,,,,,,
fdi,Cayman Islands,246157,277361,255681,406825,217690,515133,144446,125509,166825,197540,224196,249880,258189,314497,257078,209546,194754,204258,86604,117954,106671,62373,37795,32423,15844
electricity,Cayman Islands,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ageing,Cayman Islands,32.64289052,32.30663391,32.10155204,31.8131031,31.50905932,31.25105414,31.07596299,30.98238438,31.01298584,31.06818496,31.04661597,31.01785671,31.111665,31.39376494,31.77004539,32.15196818,32.54382481,32.90485414,33.20578231,33.45487694,33.63932292,33.65912844,33.77113316,34.12225933,34.49514233
publicdebt,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
business,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
gdp,Cayman Islands,86568.76964,83329.45877,89871.91314,85234.84272,81258.03776,78861.11927,77298.62806,76613.40655,75688.08215,75468.85344,75438.33001,76875.96182,81401.25308,89707.45309,89963.92244,87187.6509,,,,,,,,,
GNI per capita growth (annual %),Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
internet,Cayman Islands,,,,,81.06769325,79,77,74.1,71.4,69.7,69.46594499,66,64.5,61,52,44.5,38.03438308,,,,,,,,
inflation,Cayman Islands,,,,,,-0.625258359,-2.347527702,1.273979115,2.160611468,1.188948452,1.325435758,0.276140862,,,,,,,,,,,,,
immigration,Cayman Islands,,,,,,,39.56509414,,,,,43.33891801,,,,,44.53653621,,,,,46.18687777,,,
gender,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
education,Cayman Islands,,,,,,,85.94999695,88.11000061,,89.58999634,90.15000153,,,,,,,,,,,,,,
interest,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Cayman Islands,98.86782074,,,,98.86782074,,,,,,,,,,98.86782074,,,,,,,,,,
militaryexp,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
slums,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servicesector,Cayman Islands,,86.92191203,86.17726548,86.11714108,87.10426038,86.86238163,87.43736965,87.31549236,87.19807969,87.19024612,87.31335858,87.60998059,86.90024767,85.00794521,84.43210272,83.5483461,,,,,,,,,
"Share of tariff lines with international peaks, all products (%)",Cayman Islands,,,,,,84.60017,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Cayman Islands,,,,,,1.35202,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Cayman Islands,,,,,,23.03,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Cayman Islands,,,,,,32.47,,,,,,,,,,,,,,,,,,,
Tariffs,Cayman Islands,,,,,,16.72,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Cayman Islands,,,,,,34.32,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Cayman Islands,,21.21,25.27,23.03,21.24,21.17,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Cayman Islands,,,,,,16.72,,,,,,,,,,,,,,,,,,,
unemployment,Cayman Islands,,,,,,,4.239999771,4.699999809,6.269999981,6.210000038,6.78000021,6.679999828,6.039999962,3.970000029,3.829999924,2.619999886,3.539999962,3.450000048,3.609999895,5.369999886,7.539999962,,,4.170000076,4.139999866
electricity,Caribbean small states,,98.79517567,98.20748403,97.6930736,97.33154868,96.73583523,95.73608967,94.89316889,94.97169571,94.49943014,93.5096354,93.49640655,92.28570139,92.96730423,91.8233353,90.8634426,90.39309832,89.9738878,89.49711052,89.40080384,89.55469792,86.92061788,85.95318132,83.28639395,82.70223628
ageing,Caribbean small states,43.45431008,43.6823524,43.76575081,44.0638993,44.53075761,44.81362336,45.12401245,45.58744742,46.20907443,46.89895912,47.66005202,48.53992353,49.46778432,50.38946128,51.39455833,52.42807192,53.44648023,54.53287299,55.77059243,57.12449873,58.55198889,60.02871628,61.45419249,62.79155212,64.08523181
publicdebt,Caribbean small states,,,,,,,,,,,,,,,46.8449139,47.97582117,,,,,,,,,
business,Caribbean small states,,,18.08461538,18.42307692,19.21538462,19.51538462,19.83846154,20.12307692,20.39230769,20.77692308,23.25384615,24.83333333,24.48333333,30.68333333,35.1,41.59090909,43.70909091,60.9,16.3,,,,,,
gdp,Caribbean small states,10063.6913,8851.424959,10429.33204,10353.11645,10075.83072,9781.008816,10473.83445,10711.77911,10542.78615,10417.9382,9948.838931,9271.773216,8592.549497,10222.72811,9053.246476,8192.984146,7248.407343,6453.143698,5938.533748,5594.319152,5368.47197,5246.595612,4925.011734,4681.019166,4418.653778
GNI per capita growth (annual %),Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
internet,Caribbean small states,,,,,57.96294201,52.60773051,50.29750265,48.14038633,44.83091004,42.41856283,42.35227886,35.58783993,31.92155504,27.72207369,24.53589679,20.88125309,17.99762973,15.46681697,13.58021309,10.72978738,6.965077241,4.275268013,2.981366227,1.945982239,0.905159623
inflation,Caribbean small states,2.410703122,0.079977871,1.215949456,1.245000409,1.880384402,0.663427168,-0.843826985,1.201399645,1.10698554,2.598444141,3.456749672,3.370025402,0.421539126,8.033273277,4.034229829,4.25195322,3.733429165,2.394109821,2.235436644,2.173577925,2.627413142,2.435813035,2.621395246,2.698602959,2.99598403
immigration,Caribbean small states,,,,,,,4.900340409,,,,,4.666253176,,,,,4.345829553,,,,,3.978446901,,,
gender,Caribbean small states,53.44001296,52.12660399,53.97976028,53.94581157,54.08597511,53.83380684,53.93816283,52.51143172,52.0134933,51.58225173,50.72865147,50.69665958,51.44722939,52.44122073,52.20423838,52.49377555,52.29527283,51.84758088,51.23517523,50.8765243,50.86617502,51.22229458,51.3760521,51.8323672,52.14759934
education,Caribbean small states,,,,,,76.26136964,,76.20441519,,,,,,,,,,,,,,,,,
interest,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,Caribbean small states,,,,,,,90.78756714,90.66783905,90.65540314,90.73217773,90.85920715,90.80419922,90.73297882,90.52310181,90.27494049,89.68746185,89.50833893,89.2070694,88.95674133,88.6944809,88.41893005,88.05062866,87.14614868,87.4030838,87.09664154
militaryexp,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
oil,Caribbean small states,,2.020847223,1.383430627,1.630085562,1.250601166,0.780748379,0.952702147,2.442623038,2.746158568,3.043480787,3.213148027,2.988991264,2.43077327,4.353537458,3.761275846,4.59851244,4.363570255,2.823709216,2.505986116,2.086048921,1.937960116,2.922054046,1.716416409,1.003045941,2.076222897
slums,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,Caribbean small states,48.21758917,48.39562709,48.58735282,48.71688923,48.80310917,48.93080304,49.04374641,49.14324847,49.22780863,49.29672002,49.3671354,49.40770024,49.42663651,49.43928181,49.44886224,49.45649038,49.4624711,49.46527908,49.47791551,49.49469465,49.52836141,49.60270417,49.74036585,49.88751203,50.03826729
servicesector,Caribbean small states,58.30544903,63.37521608,62.87856507,61.72683133,62.8602375,64.24579291,63.09078299,60.94130341,60.17964493,59.51191337,57.71869649,59.59420434,60.98201805,54.3163905,57.53902409,57.20344527,59.55360675,61.72080166,63.43695742,66.4594155,65.52688319,63.86447372,65.59638974,64.30150757,63.2225531
"Share of tariff lines with international peaks, all products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,Caribbean small states,,,6.257304068,,,7.470089123,9.674158311,7.695800798,8.669308706,8.28668379,7.864969963,6.698609451,7.835797565,6.750654434,8.428594729,9.206885119,10.41999352,11.01424274,11.60089688,12.46209526,12.7692061,,14.01879969,14.27672431,15.09782329
Exports,Cape Verde,8454,7784,6417,7827,6924,4870,4330,5122,6199,5749,4975,3434,3541,1495,1469,1009,519,275,260,184,221,,,,
Imports,Cape Verde,115,121,3,29,1,8,2,0,,0,1,1,,,,,0,0,0,,,,,,
Exports,Canary Islands,197,161,176,292,334,402,344,436,317,252,237,295,591,1971,5394,5257,3905,5268,3753,3024,3398,2448,2112,1762,
Imports,Canary Islands,2,6,3,1,27,1,,,5,0,,,,,,3,0,1,0,,,2,6,,
Exports,Canada,5151026,4209457,3693196,3515324,3137546,2733885,2942264,3000368,2921669,2812480,2526610,2221613,1767458,2179588,1935569,1551672,1165367,816118,563218,430346,334609,315784,243296,212687,
Imports,Canada,3048978,2206337,2815209,2835940,2042301,1833683,2621375,2518201,2523697,2321049,2216995,1492375,1205326,1267335,1097913,766211,751116,735299,437449,362688,402847,375108,233403,223721,
fdi,Canada,20269,21686,23195,28461,29269,26240,22392,35346,53610,43497,46832,63485,86177,54328,39658,42416,45413,61387,56351,58798,44130,27978,31442,31652,34412
electricity,Canada,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ageing,Canada,52.1020152,51.2556995,50.47738991,49.80165724,49.14805562,48.41410433,47.59164116,46.75493444,45.95404158,45.18392809,44.53577979,44.13587177,43.94937113,43.85425578,43.83612028,43.96370071,44.26640882,44.67374204,45.0746769,45.46660242,45.896322,46.34462617,46.79184778,47.17286717,47.43437813
publicdebt,Canada,,72.0858234,48.01163331,48.1815311,50.22579685,52.80866814,54.65147942,50.33071883,51.84295011,54.9262398,53.18475161,52.45743515,52.25152641,43.94727949,39.13872444,43.25613034,46.02521292,46.74289,51.15163117,54.00913305,57.32214393,58.60027865,66.09284296,72.30396613,74.76256899
business,Canada,,,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.9,0.9,0.6,,,,,,
gdp,Canada,51987.93905,43258.26387,46328.67184,46548.63841,45129.4293,42315.60371,43596.13554,50955.99832,52635.17496,52669.08996,52223.69611,47562.08343,40876.31015,46710.50558,44659.89514,40504.06073,36382.50792,32143.68141,28300.4631,24255.33858,23822.06012,24271.00206,22315.24667,21024.58507,21901.56285
GNI per capita growth (annual %),Canada,8.622135803,-7.129289634,0.620019426,0.950485995,2.939757724,-0.166089572,-2.279806373,1.258867358,1.719093305,0.321623534,3.235451284,3.290752625,-7.212100447,1.354658314,2.120111117,2.360077763,3.553254057,3.935126813,2.754384018,1.116214911,0.069532135,6.89703866,4.881432409,1.184147242,3.11217788
savings,Canada,22.92576464,18.88341052,20.01542161,19.64367359,19.84528099,19.14645457,19.56936363,22.14849389,21.5972984,20.91795123,20.85710941,19.3125301,18.52001347,24.24740931,24.40431956,24.61727708,24.45175414,23.66050407,21.94377715,21.7247372,22.63548905,23.77462807,21.09588678,19.77421428,20.19673402
internet,Canada,,92.3,96.5,94.64,92.70137191,91.16,90,87.12,85.8,83,83,80.3,80.3,76.7,73.2,72.4,71.66,65.95596346,64.2,61.59329927,60.2,51.3,36.18644004,24.8974003,15.07235736
inflation,Canada,3.395193185,0.716999632,1.949269024,2.268225672,1.596884129,1.428759547,1.125241361,1.906635907,0.938291898,1.515678231,2.912135089,1.776871541,0.299466803,2.370270674,2.138383993,2.002025395,2.213552034,1.857258719,2.758563214,2.258394409,2.52512014,2.719439957,1.734842951,0.995942457,1.621216381
immigration,Canada,,,,,,,21.80166365,,,,,20.54501101,,,,,18.84586509,,,,,17.95300441,,,
gender,Canada,60.62200165,59.50899887,61.43700027,61.29199982,61.47600174,61.27399826,61.21300125,61.54700089,62.17100143,62.12099838,62.1609993,62.4070015,62.42599869,62.55099869,62.50500107,61.88299942,61.6590004,61.99100113,61.89400101,60.9109993,59.75600052,59.40000153,58.91400146,58.38800049,57.78699875
education,Canada,73.77999878,72.77999878,74.66999817,74.65000153,75.05000305,75.34999847,75.75,75.75,76.26000214,76.45999908,76.69000244,77.16999817,77.70999908,77.63999939,77.73000336,77.80999756,78.19000244,78.61000061,78.98999786,78.59999847,78.44999695,78.55999756,78.55000305,78.79000092,78.48000336
interest,Canada,,,,,2.7,2.7,2.775,3,3,3,3,2.604166667,2.395833333,4.729166667,6.104166667,5.8125,4.416666667,4,4.6875,4.208333333,5.8125,7.270833333,6.4375,6.604166667,4.958333333
literacy,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
militaryexp,Canada,1.315152952,1.415945358,1.286097099,1.324681094,1.351602232,1.164161567,1.152709374,0.989925299,1.0023672,1.118404598,1.193291895,1.194338338,1.377555631,1.248621382,1.188901783,1.125832408,1.110669655,1.107966027,1.115878799,1.120852292,1.137368973,1.11808088,1.241703064,1.256293902,1.246243202
oil,Canada,,1.087934639,1.604777842,1.780506536,0.891491978,0.46691419,0.037848988,1.230369412,1.454364884,1.235929049,2.027015324,1.471615523,1.414540686,2.618797981,1.585395796,1.557080792,1.667201044,1.346637688,0.99868332,0.88023898,0.806147799,1.458894166,0.786208805,0.364031497,0.860727287
slums,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),Canada,,,,,0.131626934,1.931406584,3.684015959,1.035269466,1.240990437,1.76667185,-0.227403088,-0.238969292,4.818745226,0.716869844,2.733675018,3.157423519,1.254599804,0.710526316,1.387662865,2.932943223,4.086105851,2.813457464,4.450209078,6.795718208,
ruralpop,Canada,18.347,18.438,18.518,18.589,18.65,18.7,18.741,18.782,18.822,18.863,18.904,19.063,19.242,19.422,19.604,19.787,19.878,19.955,20.033,20.112,20.19,20.522,20.897,21.276,21.66
servicesector,Canada,,,,66.86584615,67.11667206,67.9588533,67.00099777,64.90199745,65.16744128,65.16324113,64.79820615,65.73341913,66.86904248,62.73445421,63.09642128,62.72319311,62.03346575,62.40435898,62.92361298,63.01576544,62.54146881,61.30066732,62.57092598,63.58332828,62.82292878
"Share of tariff lines with international peaks, all products (%)",Canada,,5.176554,5.120376,5.225183,5.209977,7.660544,7.856117,7.85752,7.855266,8.397274,7.474881,7.634188,8.034308,7.910805,7.728516,7.579972,7.624135,7.658468,9.508335,10.34778,10.13896,9.640119,9.840958,10.38867,11.06351
"Share of tariff lines with specific rates, all products (%)",Canada,,0.2438584,0.1698399,0.1701762,0.1670174,0.1832772,0.2047622,0,0.203655,0.1978509,0.1761066,0.1629235,0.0426784,0.0367738,0.0527516,0.0382806,0.1012496,0.0396856,0.1629114,0.192467,0.2870333,0.2890802,1.163193,0.2787189,0.1249454
"Tariff rate, applied, simple mean, all products (%)",Canada,,1.87,2.1,1.99,1.99,2.95,3.14,3.06,3.07,3.23,3.37,3.43,4.08,4.14,4.14,4.16,4.29,4.28,6.38,4.82,5.17,4.72,5.05,5.16,6.74
"Tariff rate, applied, simple mean, primary products (%)",Canada,,3.72,5.06,3.67,3.73,4.38,4.51,4.45,4.34,4.48,4.89,4.79,4.94,5.03,5.05,5.16,5.3,5.2,17.41,5.27,5.57,5.06,6.47,5.56,6.17
Tariffs,Canada,,1.49,1.51,1.47,1.52,1.56,1.65,1.43,1.45,1.4,1.38,1.46,1.7,1.54,1.54,1.45,1.46,1.51,2.46,1.49,1.6,1.31,1.01,1.44,1.99
"Tariff rate, applied, weighted mean, primary products (%)",Canada,,4.52,4.96,4.09,4.31,4.16,3.95,3.17,3.14,2.98,2.7,3.11,3.58,2.84,3.26,3.14,3.37,3.99,9.8,4.32,4.57,3.74,1.97,4.66,4.46
"Tariff rate, most favored nation, simple mean, all products (%)",Canada,,3.26,4.11,3.2,3.21,3.26,3.26,3.31,3.44,3.55,3.61,3.66,4.49,4.63,4.67,4.69,4.88,4.9,7.59,5.14,5.29,5.36,5.96,5.93,7.38
"Tariff rate, most favored nation, weighted mean, all products (%)",Canada,,3.16,7.24,3.09,3.17,3.2,3.11,2.94,2.97,2.88,2.84,2.96,3.49,3.36,3.49,3.38,3.4,3.54,6.11,3.67,3.61,3.43,3.73,3.95,5.19
unemployment,Canada,7.460000038,9.460000038,5.659999847,5.829999924,6.340000153,7,6.909999847,6.909999847,7.070000172,7.289999962,7.510000229,8.06000042,8.340000153,6.139999866,6.039999962,6.320000172,6.760000229,7.190000057,7.570000172,7.659999847,7.21999979,6.829999924,7.579999924,8.279999733,9.100000381
Exports,Cameroon,271399,202247,167017,169422,138861,155725,183330,187758,151468,106432,87411,54079,41585,37928,29658,19115,12987,10002,6494,4397,2936,2263,2015,1892,
Imports,Cameroon,163669,76133,100968,109535,50850,40223,78162,68888,36617,89043,66295,46090,39767,47919,16002,19966,6675,14891,11522,11466,18370,13803,7631,4865,
fdi,Cameroon,501,,9,,,4,5,2,3,,21,87,181,218,-18,65,,590,73,16,,,6,,
